28/06 17:10:00	frame	(939, 275, 953, 292)	unknown	
28/06 17:10:09	frame	(861, 349, 888, 384)	unknown	
28/06 17:10:09	frame	(862, 348, 887, 382)	unknown	
28/06 17:10:16	frame	(850, 276, 867, 297)	unknown	
28/06 17:10:16	frame	(850, 276, 867, 297)	unknown	
28/06 17:10:16	frame	(849, 277, 866, 297)	unknown	
28/06 17:10:17	frame	(849, 277, 866, 297)	unknown	
28/06 17:10:17	frame	(850, 277, 867, 297)	unknown	
28/06 17:10:18	frame	(863, 349, 886, 378)	11455	
28/06 17:10:21	frame	(861, 349, 888, 384)	unknown	
28/06 17:10:36	frame	(863, 349, 890, 383)	unknown	
28/06 17:10:36	frame	(861, 349, 888, 384)	unknown	
28/06 17:10:40	frame	(849, 277, 866, 298)	unknown	
28/06 17:10:43	frame	(849, 277, 866, 297)	unknown	
28/06 17:10:43	frame	(849, 277, 866, 297)	unknown	
28/06 17:10:43	frame	(849, 277, 866, 297)	unknown	
28/06 17:10:47	frame	(849, 277, 866, 297)	unknown	
28/06 17:10:49	frame	(849, 277, 866, 297)	unknown	
28/06 17:12:57	frame	(850, 277, 867, 298)	11455	
28/06 17:12:57	frame	(850, 277, 867, 298)	unknown	
28/06 17:12:57	frame	(850, 277, 867, 298)	unknown	
28/06 17:12:57	frame	(850, 278, 867, 299)	unknown	
28/06 17:12:58	frame	(850, 277, 867, 298)	11455	
28/06 17:12:58	frame	(850, 277, 867, 298)	unknown	
28/06 17:13:28	frame	(816, 270, 895, 372)	unknown	
28/06 17:13:28	frame	(804, 286, 875, 374)	9563444161	
28/06 17:13:29	frame	(849, 277, 869, 303)	unknown	
28/06 17:13:29	frame	(863, 348, 891, 385)	9944005072	
28/06 17:13:30	frame	(849, 277, 867, 299)	unknown	
28/06 17:13:30	frame	(449, 14, 472, 41)	unknown	
28/06 17:13:40	frame	(862, 348, 890, 384)	unknown	
28/06 17:13:40	frame	(862, 348, 888, 384)	unknown	
28/06 17:13:44	frame	(864, 349, 885, 375)	10402	
28/06 17:13:45	frame	(863, 348, 887, 377)	unknown	
28/06 17:13:45	frame	(863, 349, 888, 379)	unknown	
28/06 17:13:47	frame	(862, 348, 887, 377)	10250	
28/06 17:13:48	frame	(862, 349, 886, 380)	unknown	
28/06 17:13:50	frame	(861, 349, 889, 385)	unknown	
28/06 17:13:51	frame	(862, 349, 890, 386)	unknown	
28/06 17:13:51	frame	(862, 349, 890, 386)	11455	
28/06 17:13:51	frame	(861, 348, 891, 387)	unknown	
28/06 17:13:52	frame	(850, 277, 868, 299)	unknown	
28/06 17:13:53	frame	(850, 277, 868, 300)	10229	
28/06 17:13:53	frame	(850, 277, 868, 300)	10229	
28/06 17:13:54	frame	(862, 348, 886, 377)	unknown	
28/06 17:13:55	frame	(863, 348, 886, 377)	unknown	
28/06 17:13:56	frame	(864, 349, 885, 376)	unknown	
28/06 17:13:56	frame	(863, 349, 887, 380)	11455	
28/06 17:13:56	frame	(863, 349, 887, 380)	unknown	
28/06 17:13:57	frame	(864, 348, 887, 377)	unknown	
28/06 17:13:57	frame	(862, 348, 887, 377)	unknown	
28/06 17:13:58	frame	(862, 349, 887, 380)	unknown	
28/06 17:14:02	frame	(850, 278, 867, 300)	unknown	
28/06 17:14:02	frame	(850, 278, 867, 300)	unknown	
28/06 17:14:03	frame	(863, 348, 884, 375)	unknown	
28/06 17:14:03	frame	(863, 349, 885, 376)	unknown	
28/06 17:14:07	frame	(864, 348, 886, 376)	unknown	
