{'detection': 0.06458735466003418, 'recognition': 5.7220458984375e-06}
{'detection': 0.06684303283691406, 'recognition': 5.245208740234375e-06}
{'detection': 0.067901611328125, 'recognition': 6.198883056640625e-06}
{'detection': 0.07141327857971191, 'recognition': 6.67572021484375e-06}
{'detection': 0.2618296146392822, 'recognition': 6.198883056640625e-06}
{'detection': 0.06721687316894531, 'recognition': 5.7220458984375e-06}
{'detection': 0.06905603408813477, 'recognition': 5.0067901611328125e-06}
{'detection': 0.06679368019104004, 'recognition': 6.4373016357421875e-06}
{'detection': 0.06886553764343262, 'recognition': 5.7220458984375e-06}
{'detection': 0.0694887638092041, 'recognition': 5.0067901611328125e-06}
{'detection': 0.265791654586792, 'recognition': 6.198883056640625e-06}
{'detection': 0.06627225875854492, 'recognition': 6.9141387939453125e-06}
{'detection': 0.06594347953796387, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07058525085449219, 'recognition': 6.198883056640625e-06}
{'detection': 0.07061600685119629, 'recognition': 5.7220458984375e-06}
{'detection': 0.06998229026794434, 'recognition': 7.62939453125e-06}
{'detection': 0.07530665397644043, 'recognition': 5.0067901611328125e-06}
{'detection': 0.0781707763671875, 'recognition': 9.298324584960938e-06}
{'detection': 0.07874035835266113, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07970452308654785, 'recognition': 7.3909759521484375e-06}
{'detection': 0.08059453964233398, 'recognition': 6.67572021484375e-06}
{'detection': 0.068572998046875, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07028603553771973, 'recognition': 6.9141387939453125e-06}
{'detection': 0.08278441429138184, 'recognition': 5.4836273193359375e-06}
{'detection': 0.07693147659301758, 'recognition': 6.67572021484375e-06}
0.5602222857471924
{'detection': 0.07563567161560059, 'recognition': 0.05766582489013672}
{'detection': 0.1052713394165039, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07419824600219727, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07240462303161621, 'recognition': 6.198883056640625e-06}
{'detection': 0.06764531135559082, 'recognition': 5.9604644775390625e-06}
{'detection': 0.06563448905944824, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07903337478637695, 'recognition': 6.67572021484375e-06}
{'detection': 0.08015084266662598, 'recognition': 5.9604644775390625e-06}
{'detection': 0.07493972778320312, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07224917411804199, 'recognition': 6.198883056640625e-06}
{'detection': 0.07545065879821777, 'recognition': 4.76837158203125e-06}
0.4596466252553944
{'detection': 0.07579994201660156, 'recognition': 0.05585789680480957}
{'detection': 0.1119997501373291, 'recognition': 6.9141387939453125e-06}
{'detection': 0.08427977561950684, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07607364654541016, 'recognition': 5.4836273193359375e-06}
{'detection': 0.08055472373962402, 'recognition': 6.67572021484375e-06}
{'detection': 0.07027292251586914, 'recognition': 5.0067901611328125e-06}
{'detection': 0.0768129825592041, 'recognition': 7.62939453125e-06}
{'detection': 0.07911252975463867, 'recognition': 6.9141387939453125e-06}
{'detection': 0.08206748962402344, 'recognition': 5.7220458984375e-06}
{'detection': 0.08383417129516602, 'recognition': 6.198883056640625e-06}
{'detection': 0.07336902618408203, 'recognition': 4.76837158203125e-06}
{'detection': 0.07463955879211426, 'recognition': 6.67572021484375e-06}
{'detection': 0.07095527648925781, 'recognition': 6.198883056640625e-06}
{'detection': 0.07182192802429199, 'recognition': 6.67572021484375e-06}
{'detection': 0.07385969161987305, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07817482948303223, 'recognition': 6.4373016357421875e-06}
{'detection': 0.07783150672912598, 'recognition': 7.62939453125e-06}
{'detection': 0.0750894546508789, 'recognition': 6.9141387939453125e-06}
{'detection': 0.0752098560333252, 'recognition': 5.4836273193359375e-06}
{'detection': 0.07506275177001953, 'recognition': 5.7220458984375e-06}
{'detection': 0.07038426399230957, 'recognition': 6.9141387939453125e-06}
{'detection': 0.07372927665710449, 'recognition': 6.4373016357421875e-06}
{'detection': 0.08635926246643066, 'recognition': 5.4836273193359375e-06}
{'detection': 0.08621573448181152, 'recognition': 5.7220458984375e-06}
{'detection': 0.07746720314025879, 'recognition': 6.198883056640625e-06}
{'detection': 0.07335209846496582, 'recognition': 6.67572021484375e-06}
{'detection': 0.07027101516723633, 'recognition': 5.0067901611328125e-06}
